City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,hadibu,12.65,54.0333,26.55,80,100,6.78,YE,1693164569
166,narvik,68.4384,17.4272,17.99,61,12,3.21,NO,1693164569
167,gimbi,9.1667,35.8333,14.15,96,100,0.59,ET,1693164569
168,kimbe,-5.5502,150.1429,24.89,86,100,3.29,PG,1693164569
169,minas de marcona,-15.2119,-75.1103,19.83,53,6,4.54,PE,1693164571
170,akureyri,65.6835,-18.0878,13.96,67,20,2.06,IS,1693164571
171,purpe,64.4803,76.6897,9.7,86,21,3.95,RU,1693164571
172,taupo,-38.6833,176.0833,5.42,69,100,1.96,NZ,1693164571
173,tinogasta,-28.0632,-67.5649,18.3,26,0,4.26,AR,1693164571
174,isafjordur,66.0755,-23.124,12.88,65,23,2.85,IS,1693164572
175,taguatinga,-12.3857,-46.5711,30.55,43,100,1.04,BR,1693164572
176,piti village,13.4626,144.6933,27.39,90,100,3.6,GU,1693164572
177,janeng,-25.4167,25.55,13.8,26,48,4.07,BW,1693164572
178,international falls,48.6011,-93.411,23.41,62,75,2.57,US,1693164572
179,iskateley,67.6803,53.1512,6.92,93,100,3.24,RU,1693164572
180,sergeyevka,53.88,67.4158,12.3,66,99,3.23,KZ,1693164572
181,argo,37.6333,22.7333,29.32,65,11,0.84,GR,1693164274
182,ribeira grande,38.5167,-28.7,25.22,73,20,5.14,PT,1693164573
183,camrose,53.0168,-112.8353,24.39,50,18,3.0,CA,1693164464
184,polyarnyy,69.1989,33.4478,9.76,84,100,2.36,RU,1693164573
185,port alfred,-33.5906,26.891,14.49,78,0,2.05,ZA,1693164573
186,vila velha,-20.3297,-40.2925,19.97,95,100,4.63,BR,1693164484
187,okhotsk,59.3833,143.3,14.61,66,11,3.11,RU,1693164574
188,san fernando de apure,7.8878,-67.4724,33.27,59,32,0.69,VE,1693164310
189,kourou,5.1552,-52.6478,33.03,61,8,4.39,GF,1693164574
190,banamba,13.55,-7.45,23.25,87,23,2.81,ML,1693164574
191,anna regina,7.2644,-58.5077,30.55,63,5,5.02,GY,1693164574
192,choibalsan,48.0667,114.5,13.49,80,100,3.08,MN,1693164574
193,papao,-17.75,-149.55,27.82,67,13,7.76,PF,1693164574
194,miri,4.4148,114.0089,25.08,94,40,2.57,MY,1693164513
195,malvan,16.0667,73.4667,26.71,81,45,2.69,IN,1693164575
196,kristiansund,63.1115,7.732,14.36,94,75,5.66,NO,1693164575
